name,country,subcountry,geonameid
Fort Hunt,United States,Virginia,4046704
Bessemer,United States,Alabama,4048023
Paducah,United States,Kentucky,4048662
Birmingham,United States,Alabama,4049979
Center Point,United States,Alabama,4054378
Daphne,United States,Alabama,4058219
Decatur,United States,Alabama,4058553
Dothan,United States,Alabama,4059102
East Florence,United States,Alabama,4059870
Enterprise,United States,Alabama,4060791
Fairhope,United States,Alabama,4061234
Florence,United States,Alabama,4062577
Gadsden,United States,Alabama,4063619
Helena,United States,Alabama,4066811
Homewood,United States,Alabama,4067927
Hoover,United States,Alabama,4067994
Hueytown,United States,Alabama,4068446
Huntsville,United States,Alabama,4068590
Madison,United States,Alabama,4074267
Mobile,United States,Alabama,4076598
Montgomery,United States,Alabama,4076784
Mountain Brook,United States,Alabama,4078646
Northport,United States,Alabama,4080555
Opelika,United States,Alabama,4081644
Oxford,United States,Alabama,4081914
Pelham,United States,Alabama,4082569
Phenix City,United States,Alabama,4082866
Prattville,United States,Alabama,4084796
Prichard,United States,Alabama,4084888
Selma,United States,Alabama,4089114
Talladega,United States,Alabama,4092788
Tillmans Corner,United States,Alabama,4093753
Troy,United States,Alabama,4094163
Trussville,United States,Alabama,4094212
Tuscaloosa,United States,Alabama,4094455
Vestavia Hills,United States,Alabama,4095415
Bella Vista,United States,Arkansas,4101114
Benton,United States,Arkansas,4101241
Bentonville,United States,Arkansas,4101260
Blytheville,United States,Arkansas,4102412
Bryant,United States,Arkansas,4103448
Cabot,United States,Arkansas,4103957
Conway,United States,Arkansas,4106458
El Dorado,United States,Arkansas,4109785
Fayetteville,United States,Arkansas,4110486
Forrest City,United States,Arkansas,4111382
Fort Smith,United States,Arkansas,4111410
Hot Springs,United States,Arkansas,4115412
Jacksonville,United States,Arkansas,4116315
Jonesboro,United States,Arkansas,4116834
Little Rock,United States,Arkansas,4119403
Maumelle,United States,Arkansas,4120792
North Little Rock,United States,Arkansas,4124112
Paragould,United States,Arkansas,4125388
Pine Bluff,United States,Arkansas,4126226
Rogers,United States,Arkansas,4128894
Russellville,United States,Arkansas,4129397
Searcy,United States,Arkansas,4130430
Siloam Springs,United States,Arkansas,4131116
Springdale,United States,Arkansas,4132093
Texarkana,United States,Arkansas,4133367
Van Buren,United States,Arkansas,4134716
West Memphis,United States,Arkansas,4135865
Washington D.C.,United States,Washington D.C.,4140963
Bear,United States,Delaware,4141363
Dover,United States,Delaware,4142290
Middletown,United States,Delaware,4143637
Newark,United States,Delaware,4143861
Wilmington,United States,Delaware,4145381
Allapattah,United States,Florida,4145805
Altamonte Springs,United States,Florida,4145941
Apopka,United States,Florida,4146166
Aventura,United States,Florida,4146429
Bartow,United States,Florida,4146723
Bayonet Point,United States,Florida,4146901
Bayshore Gardens,United States,Florida,4146934
Belle Glade,United States,Florida,4147241
Bellview,United States,Florida,4147290
Bloomingdale,United States,Florida,4148207
Boca Del Mar,United States,Florida,4148399
Boca Raton,United States,Florida,4148411
Bonita Springs,United States,Florida,4148533
Boynton Beach,United States,Florida,4148677
Bradenton,United States,Florida,4148708
Brandon,United States,Florida,4148757
Brent,United States,Florida,4148803
Brownsville,United States,Florida,4149077
Buenaventura Lakes,United States,Florida,4149269
Cantonment,United States,Florida,4149956
Cape Coral,United States,Florida,4149962
Carol City,United States,Florida,4150066
Carrollwood,United States,Florida,4150115
Carrollwood Village,United States,Florida,4150118
Casselberry,United States,Florida,4150190
Citrus Park,United States,Florida,4151157
Clearwater,United States,Florida,4151316
Clermont,United States,Florida,4151352
Cocoa,United States,Florida,4151440
Coconut Creek,United States,Florida,4151455
Coconut Grove,United States,Florida,4151460
Cooper City,United States,Florida,4151824
Coral Gables,United States,Florida,4151871
Coral Springs,United States,Florida,4151909
Coral Terrace,United States,Florida,4151921
Country Walk,United States,Florida,4152064
Country Club,United States,Florida,4152093
Crestview,United States,Florida,4152311
Cutler,United States,Florida,4152564
Cutler Ridge,United States,Florida,4152574
Dania Beach,United States,Florida,4152772
Davie,United States,Florida,4152820
Daytona Beach,United States,Florida,4152872
DeLand,United States,Florida,4152890
DeBary,United States,Florida,4152926
Deerfield Beach,United States,Florida,4153071
Delray Beach,United States,Florida,4153132
Deltona,United States,Florida,4153146
Doral,United States,Florida,4153471
Dunedin,United States,Florida,4153759
East Lake,United States,Florida,4154008
East Pensacola Heights,United States,Florida,4154047
Edgewater,United States,Florida,4154205
Egypt Lake-Leto,United States,Florida,4154280
Ensley,United States,Florida,4154489
Estero,United States,Florida,4154568
Eustis,United States,Florida,4154606
Ferry Pass,United States,Florida,4155017
Flagami,United States,Florida,4155529
Florida Ridge,United States,Florida,4155726
Fort Lauderdale,United States,Florida,4155966
Fort Myers,United States,Florida,4155995
Fort Pierce,United States,Florida,4156018
Fort Walton Beach,United States,Florida,4156042
Fountainebleau,United States,Florida,4156091
Fruit Cove,United States,Florida,4156331
Gainesville,United States,Florida,4156404
Glenvar Heights,United States,Florida,4156857
Golden Gate,United States,Florida,4156920
Golden Glades,United States,Florida,4156931
Greenacres City,United States,Florida,4157467
Haines City,United States,Florida,4157827
Hallandale Beach,United States,Florida,4157898
Hialeah,United States,Florida,4158476
Hialeah Gardens,United States,Florida,4158482
Holiday,United States,Florida,4158865
Hollywood,United States,Florida,4158928
Homestead,United States,Florida,4159050
Immokalee,United States,Florida,4159553
Iona,United States,Florida,4159805
Ives Estates,United States,Florida,4159896
Jacksonville,United States,Florida,4160021
Jacksonville Beach,United States,Florida,4160023
Jasmine Estates,United States,Florida,4160100
Jupiter,United States,Florida,4160610
Kendale Lakes,United States,Florida,4160705
Kendall,United States,Florida,4160711
Key West,United States,Florida,4160812
Keystone,United States,Florida,4160822
Kissimmee,United States,Florida,4160983
Lake Butler,United States,Florida,4161178
Lake Magdalene,United States,Florida,4161313
Lake Worth,United States,Florida,4161422
Lake Worth Corridor,United States,Florida,4161424
Lakeland,United States,Florida,4161438
Lakeside,United States,Florida,4161461
Land O' Lakes,United States,Florida,4161534
Largo,United States,Florida,4161580
Lauderdale Lakes,United States,Florida,4161616
Lauderhill,United States,Florida,4161625
Lealman,United States,Florida,4161705
Leesburg,United States,Florida,4161771
Lehigh Acres,United States,Florida,4161785
Leisure City,United States,Florida,4161797
Lutz,United States,Florida,4163033
Lynn Haven,United States,Florida,4163049
Maitland,United States,Florida,4163220
Margate,United States,Florida,4163407
Meadow Woods,United States,Florida,4163918
Melbourne,United States,Florida,4163971
Merritt Island,United States,Florida,4164092
Miami,United States,Florida,4164138
Miami Beach,United States,Florida,4164143
Miami Gardens,United States,Florida,4164167
Miami Lakes,United States,Florida,4164186
Miramar,United States,Florida,4164601
Myrtle Grove,United States,Florida,4165519
Naples,United States,Florida,4165565
Navarre,United States,Florida,4165637
New Smyrna Beach,United States,Florida,4165913
Norland,United States,Florida,4166066
North Fort Myers,United States,Florida,4166195
North Lauderdale,United States,Florida,4166222
North Miami,United States,Florida,4166232
North Miami Beach,United States,Florida,4166233
North Port,United States,Florida,4166274
